accuracy,unfairness,accuracy_train,unfairness_train,epsilon,models
0.8215120402946384,0.089193459063068,0.8227499303212221,0.09028308184372866,0.9,"[{'accuracy': 0.821947194719472, 'unfairness': 0.07459709474597087, 'accuracy_train': 0.819753290152234, 'unfairness_train': 0.07505255575858993, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8163366336633663, 'unfairness': 0.012065250846414188, 'accuracy_train': 0.821155988283345, 'unfairness_train': 0.09486516255428257, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8158415841584158, 'unfairness': 0.04785007072135783, 'accuracy_train': 0.8219398490036718, 'unfairness_train': 0.09889518643268302, 'description': ' if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8386138613861386, 'unfairness': 0.22185821697099894, 'accuracy_train': 0.8287058046949132, 'unfairness_train': 0.0944238629634444, 'description': ' if [capitalGain_-inf_to_5119.0__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse if [capitalLoss_1568.5_to_1820.5]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8148209275457996, 'unfairness': 0.08959666203059813, 'accuracy_train': 0.8221947194719472, 'unfairness_train': 0.08817864150964339, 'description': ' if [relationship_husband__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}]"
0.8215120402946384,0.089193459063068,0.8227499303212221,0.09028308184372866,0.901,"[{'accuracy': 0.821947194719472, 'unfairness': 0.07459709474597087, 'accuracy_train': 0.819753290152234, 'unfairness_train': 0.07505255575858993, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8163366336633663, 'unfairness': 0.012065250846414188, 'accuracy_train': 0.821155988283345, 'unfairness_train': 0.09486516255428257, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8158415841584158, 'unfairness': 0.04785007072135783, 'accuracy_train': 0.8219398490036718, 'unfairness_train': 0.09889518643268302, 'description': ' if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8386138613861386, 'unfairness': 0.22185821697099894, 'accuracy_train': 0.8287058046949132, 'unfairness_train': 0.0944238629634444, 'description': ' if [capitalGain_-inf_to_5119.0__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse if [capitalLoss_1568.5_to_1820.5]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8148209275457996, 'unfairness': 0.08959666203059813, 'accuracy_train': 0.8221947194719472, 'unfairness_train': 0.08817864150964339, 'description': ' if [relationship_husband__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}]"
0.822040093099919,0.08652302059064931,0.8224858930259543,0.08758424856812966,0.902,"[{'accuracy': 0.821947194719472, 'unfairness': 0.07459709474597087, 'accuracy_train': 0.819753290152234, 'unfairness_train': 0.07505255575858993, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8163366336633663, 'unfairness': 0.012065250846414188, 'accuracy_train': 0.821155988283345, 'unfairness_train': 0.09486516255428257, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8184818481848185, 'unfairness': 0.03449787835926443, 'accuracy_train': 0.820619662527332, 'unfairness_train': 0.08540102005468797, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8386138613861386, 'unfairness': 0.22185821697099894, 'accuracy_train': 0.8287058046949132, 'unfairness_train': 0.0944238629634444, 'description': ' if [capitalGain_-inf_to_5119.0__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse if [capitalLoss_1568.5_to_1820.5]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8148209275457996, 'unfairness': 0.08959666203059813, 'accuracy_train': 0.8221947194719472, 'unfairness_train': 0.08817864150964339, 'description': ' if [relationship_husband__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}]"
0.822040093099919,0.08652302059064931,0.8224858930259543,0.08758424856812966,0.903,"[{'accuracy': 0.821947194719472, 'unfairness': 0.07459709474597087, 'accuracy_train': 0.819753290152234, 'unfairness_train': 0.07505255575858993, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8163366336633663, 'unfairness': 0.012065250846414188, 'accuracy_train': 0.821155988283345, 'unfairness_train': 0.09486516255428257, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8184818481848185, 'unfairness': 0.03449787835926443, 'accuracy_train': 0.820619662527332, 'unfairness_train': 0.08540102005468797, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8386138613861386, 'unfairness': 0.22185821697099894, 'accuracy_train': 0.8287058046949132, 'unfairness_train': 0.0944238629634444, 'description': ' if [capitalGain_-inf_to_5119.0__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse if [capitalLoss_1568.5_to_1820.5]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8148209275457996, 'unfairness': 0.08959666203059813, 'accuracy_train': 0.8221947194719472, 'unfairness_train': 0.08817864150964339, 'description': ' if [relationship_husband__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}]"
0.822040093099919,0.08652302059064931,0.8224858930259543,0.08758424856812966,0.904,"[{'accuracy': 0.821947194719472, 'unfairness': 0.07459709474597087, 'accuracy_train': 0.819753290152234, 'unfairness_train': 0.07505255575858993, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8163366336633663, 'unfairness': 0.012065250846414188, 'accuracy_train': 0.821155988283345, 'unfairness_train': 0.09486516255428257, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8184818481848185, 'unfairness': 0.03449787835926443, 'accuracy_train': 0.820619662527332, 'unfairness_train': 0.08540102005468797, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8386138613861386, 'unfairness': 0.22185821697099894, 'accuracy_train': 0.8287058046949132, 'unfairness_train': 0.0944238629634444, 'description': ' if [capitalGain_-inf_to_5119.0__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse if [capitalLoss_1568.5_to_1820.5]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8148209275457996, 'unfairness': 0.08959666203059813, 'accuracy_train': 0.8221947194719472, 'unfairness_train': 0.08817864150964339, 'description': ' if [relationship_husband__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}]"
0.822040093099919,0.08652302059064931,0.8224858930259543,0.08758424856812966,0.905,"[{'accuracy': 0.821947194719472, 'unfairness': 0.07459709474597087, 'accuracy_train': 0.819753290152234, 'unfairness_train': 0.07505255575858993, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8163366336633663, 'unfairness': 0.012065250846414188, 'accuracy_train': 0.821155988283345, 'unfairness_train': 0.09486516255428257, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8184818481848185, 'unfairness': 0.03449787835926443, 'accuracy_train': 0.820619662527332, 'unfairness_train': 0.08540102005468797, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8386138613861386, 'unfairness': 0.22185821697099894, 'accuracy_train': 0.8287058046949132, 'unfairness_train': 0.0944238629634444, 'description': ' if [capitalGain_-inf_to_5119.0__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse if [capitalLoss_1568.5_to_1820.5]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8148209275457996, 'unfairness': 0.08959666203059813, 'accuracy_train': 0.8221947194719472, 'unfairness_train': 0.08817864150964339, 'description': ' if [relationship_husband__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}]"
0.819960885179127,0.08613601656070335,0.8204478551531047,0.08357556922756904,0.906,"[{'accuracy': 0.821947194719472, 'unfairness': 0.07459709474597087, 'accuracy_train': 0.819753290152234, 'unfairness_train': 0.07505255575858993, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8146864686468647, 'unfairness': 0.027300707910126176, 'accuracy_train': 0.8198770576343909, 'unfairness_train': 0.08304713667921604, 'description': ' if [capitalGain_7073.5_to_inf]: [income:>50K] = True\nelse if [relationship_notInFamily]: [income:>50K] = False\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse [income:>50K] = False'}, {'accuracy': 0.8184818481848185, 'unfairness': 0.03449787835926443, 'accuracy_train': 0.820619662527332, 'unfairness_train': 0.08540102005468797, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8298679867986799, 'unfairness': 0.20468773975755716, 'accuracy_train': 0.8197945459796196, 'unfairness_train': 0.08619849213570785, 'description': ' if [age_35.5_to_61.5__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8148209275457996, 'unfairness': 0.08959666203059813, 'accuracy_train': 0.8221947194719472, 'unfairness_train': 0.08817864150964339, 'description': ' if [relationship_husband__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}]"
0.819960885179127,0.08613601656070335,0.8204478551531047,0.08357556922756904,0.907,"[{'accuracy': 0.821947194719472, 'unfairness': 0.07459709474597087, 'accuracy_train': 0.819753290152234, 'unfairness_train': 0.07505255575858993, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8146864686468647, 'unfairness': 0.027300707910126176, 'accuracy_train': 0.8198770576343909, 'unfairness_train': 0.08304713667921604, 'description': ' if [capitalGain_7073.5_to_inf]: [income:>50K] = True\nelse if [relationship_notInFamily]: [income:>50K] = False\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse [income:>50K] = False'}, {'accuracy': 0.8184818481848185, 'unfairness': 0.03449787835926443, 'accuracy_train': 0.820619662527332, 'unfairness_train': 0.08540102005468797, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8298679867986799, 'unfairness': 0.20468773975755716, 'accuracy_train': 0.8197945459796196, 'unfairness_train': 0.08619849213570785, 'description': ' if [age_35.5_to_61.5__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8148209275457996, 'unfairness': 0.08959666203059813, 'accuracy_train': 0.8221947194719472, 'unfairness_train': 0.08817864150964339, 'description': ' if [relationship_husband__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}]"
0.819960885179127,0.08613601656070335,0.8204478551531047,0.08357556922756904,0.908,"[{'accuracy': 0.821947194719472, 'unfairness': 0.07459709474597087, 'accuracy_train': 0.819753290152234, 'unfairness_train': 0.07505255575858993, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8146864686468647, 'unfairness': 0.027300707910126176, 'accuracy_train': 0.8198770576343909, 'unfairness_train': 0.08304713667921604, 'description': ' if [capitalGain_7073.5_to_inf]: [income:>50K] = True\nelse if [relationship_notInFamily]: [income:>50K] = False\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse [income:>50K] = False'}, {'accuracy': 0.8184818481848185, 'unfairness': 0.03449787835926443, 'accuracy_train': 0.820619662527332, 'unfairness_train': 0.08540102005468797, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8298679867986799, 'unfairness': 0.20468773975755716, 'accuracy_train': 0.8197945459796196, 'unfairness_train': 0.08619849213570785, 'description': ' if [age_35.5_to_61.5__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8148209275457996, 'unfairness': 0.08959666203059813, 'accuracy_train': 0.8221947194719472, 'unfairness_train': 0.08817864150964339, 'description': ' if [relationship_husband__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}]"
0.819960885179127,0.08613601656070335,0.8204478551531047,0.08357556922756904,0.909,"[{'accuracy': 0.821947194719472, 'unfairness': 0.07459709474597087, 'accuracy_train': 0.819753290152234, 'unfairness_train': 0.07505255575858993, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8146864686468647, 'unfairness': 0.027300707910126176, 'accuracy_train': 0.8198770576343909, 'unfairness_train': 0.08304713667921604, 'description': ' if [capitalGain_7073.5_to_inf]: [income:>50K] = True\nelse if [relationship_notInFamily]: [income:>50K] = False\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse [income:>50K] = False'}, {'accuracy': 0.8184818481848185, 'unfairness': 0.03449787835926443, 'accuracy_train': 0.820619662527332, 'unfairness_train': 0.08540102005468797, 'description': ' if [capitalGain_-inf_to_5119.0__AND__relationship_notInFamily]: [income:>50K] = False\nelse if [education_masters_doctorate]: [income:>50K] = True\nelse if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8298679867986799, 'unfairness': 0.20468773975755716, 'accuracy_train': 0.8197945459796196, 'unfairness_train': 0.08619849213570785, 'description': ' if [age_35.5_to_61.5__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}, {'accuracy': 0.8148209275457996, 'unfairness': 0.08959666203059813, 'accuracy_train': 0.8221947194719472, 'unfairness_train': 0.08817864150964339, 'description': ' if [relationship_husband__AND__occupation_blueCollar]: [income:>50K] = False\nelse if [education_hs_grad__AND__capitalGain_-inf_to_5119.0]: [income:>50K] = False\nelse if [relationship_husband__AND__age_35.5_to_61.5]: [income:>50K] = True\nelse if [capitalGain_-inf_to_5119.0__AND__capitalLoss_-inf_to_1537.0]: [income:>50K] = False\nelse [income:>50K] = True'}]"
