epsilon,obj_bound - obj_nobound,relative cache size for best sol,relative #nodes explored for best sol
0.7,0,1.0,1.0
0.8,0,0.9999836107397309,0.9999887148099601
0.9,0,0.9512920899720897,0.8614363563736204
0.95,-0.0017067903097270354,0,0
0.975,0,0.989989920052939,0.9714160564464512
0.98,0,0.9885884787141904,0.9697378366497984
0.985,0,0.9830411169795887,0.950915135559891
0.99,0,0.9791676391756096,0.9467595762547639
0.995,0,0.9747771137731028,0.9357429385117453
0.999,0,0.9708082787919976,0.9148467956133587
