parameter,fold_id,accuracy,unfairness
0.95,0,0.8001326553172673,0.0625
0.95,1,0.8191465841255804,0.012931034482758674
0.95,2,0.8199911543564794,0.03400000000000003
0.95,3,0.8153471915081822,0.01468354430379748
0.95,4,0.8053958425475454,0.020810107766629504
0.95,5,0.8118089340999558,0.01680672268907568
0.95,6,0.802078726227333,0.011942111122356103
0.95,7,0.8056169836355594,0.00645302417149729
0.95,8,0.8188854489164087,0.03099152964623808
0.95,9,0.8073861123396727,0.01270491803278695
0.96,0,0.8001326553172673,0.0625
0.96,1,0.8191465841255804,0.012931034482758674
0.96,2,0.8199911543564794,0.03400000000000003
0.96,3,0.8153471915081822,0.01468354430379748
0.96,4,0.8053958425475454,0.020810107766629504
0.96,5,0.8118089340999558,0.01680672268907568
0.96,6,0.802078726227333,0.011942111122356103
0.96,7,0.8056169836355594,0.00645302417149729
0.96,8,0.8188854489164087,0.03099152964623808
0.96,9,0.8073861123396727,0.01270491803278695
0.97,0,0.8001326553172673,0.0625
0.97,1,0.8191465841255804,0.012931034482758674
0.97,2,0.8199911543564794,0.03400000000000003
0.97,3,0.8153471915081822,0.01468354430379748
0.97,4,0.8053958425475454,0.020810107766629504
0.97,5,0.8118089340999558,0.01680672268907568
0.97,6,0.802078726227333,0.011942111122356103
0.97,7,0.8056169836355594,0.00645302417149729
0.97,8,0.8188854489164087,0.03099152964623808
0.97,9,0.8073861123396727,0.01270491803278695
0.98,0,0.8001326553172673,0.0625
0.98,1,0.8133981870439974,0.014354066985645897
0.98,2,0.8199911543564794,0.03400000000000003
0.98,3,0.8144626271561256,0.010212765957446801
0.98,4,0.8011941618752765,0.01741508347725962
0.98,5,0.8071649712516585,0.013150452488687736
0.98,6,0.8005307386112339,0.03369111508646394
0.98,7,0.8025210084033614,0.0030373831775700744
0.98,8,0.8188854489164087,0.03099152964623808
0.98,9,0.8036267138434321,0.035622593068035946
0.99,0,0.7923944284766747,0.05143824027072752
0.99,1,0.8043334070307319,0.028735632183908066
0.99,2,0.8051747014595312,0.01352657004830915
0.99,3,0.8062804068996019,0.05810344827586211
0.99,4,0.7925696594427245,0.023484848484848442
0.99,5,0.8051747014595312,0.10111843113221997
0.99,6,0.7888102609464839,0.010992275698158083
0.99,7,0.7943387881468377,0.02777777777777779
0.99,8,0.8071649712516585,0.03516483516483515
0.99,9,0.7945599292348519,0.05288461538461542
