accuracy,unfairness,accuracy_train,unfairness_train,epsilon,models
0.7050000000000001,0.1397073140062092,0.7522500000000001,0.1159815943053371,0.0,"[{'accuracy': 0.66, 'unfairness': 0.03308823529411764, 'accuracy_train': 0.75875, 'unfairness_train': 0.1640157780888154, 'description': ' if [guarantor:guarantor]: [good_credit_rating] = True\nelse if [previous_credit_payment_status:other_credits_existing]: [good_credit_rating] = True\nelse if [previous_credit_payment_status:no_credits_taken]: [good_credit_rating] = False\nelse if [account_balance:little]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.735, 'unfairness': 0.19259259259259265, 'accuracy_train': 0.75125, 'unfairness_train': 0.08876811594202894, 'description': ' if [credit_amount_2319.5<_<3972.75]: [good_credit_rating] = True\nelse if [account_balance:na]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.68, 'unfairness': 0.09166666666666667, 'accuracy_train': 0.74375, 'unfairness_train': 0.14636845282006572, 'description': ' if [previous_credit_payment_status:other_credits_existing]: [good_credit_rating] = True\nelse if [account_balance:na]: [good_credit_rating] = True\nelse if [savings:little__AND__guarantor:none]: [good_credit_rating] = False\nelse if [savings:moderate]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.69, 'unfairness': 0.2568407960199005, 'accuracy_train': 0.7625, 'unfairness_train': 0.07342161037546902, 'description': ' if [foreign_worker_yes__AND__account_balance:na]: [good_credit_rating] = True\nelse if [credit_amount_2319.5<_<3972.75]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.76, 'unfairness': 0.1243482794577685, 'accuracy_train': 0.745, 'unfairness_train': 0.10733401430030642, 'description': ' if [foreign_worker_yes__AND__account_balance:na]: [good_credit_rating] = True\nelse if [credit_amount_2319.5<_<3972.75]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}]"
0.6890000000000001,0.1464119211302527,0.74325,0.0643957252629285,0.89,"[{'accuracy': 0.635, 'unfairness': 0.0748792270531401, 'accuracy_train': 0.7525, 'unfairness_train': 0.08232848232848233, 'description': ' if [previous_credit_payment_status:other_credits_existing]: [good_credit_rating] = True\nelse if [account_balance:little]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [residence_duration:2_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.695, 'unfairness': 0.20179820179820185, 'accuracy_train': 0.74375, 'unfairness_train': 0.09756097560975618, 'description': ' if [installment_rate_rate_2]: [good_credit_rating] = True\nelse if [account_balance:na]: [good_credit_rating] = True\nelse if [apartment_type:own__AND__other_credits:none]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.7, 'unfairness': 0.10730034296913282, 'accuracy_train': 0.7325, 'unfairness_train': 0.05362973057377285, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse if [credit_duration_months_12<_<18]: [good_credit_rating] = True\nelse if [age:<25]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.7, 'unfairness': 0.295389636882905, 'accuracy_train': 0.755, 'unfairness_train': 0.0546050236621769, 'description': ' if [foreign_worker_yes__AND__account_balance:na]: [good_credit_rating] = True\nelse if [savings:na]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.715, 'unfairness': 0.05269219694788374, 'accuracy_train': 0.7325, 'unfairness_train': 0.0338544141404542, 'description': ' if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:no_credits_taken]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}]"
0.687,0.13971494613462407,0.74225,0.07122363827941085,0.8965555555555556,"[{'accuracy': 0.635, 'unfairness': 0.0748792270531401, 'accuracy_train': 0.7525, 'unfairness_train': 0.08232848232848233, 'description': ' if [previous_credit_payment_status:other_credits_existing]: [good_credit_rating] = True\nelse if [account_balance:little]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [residence_duration:2_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.695, 'unfairness': 0.20179820179820185, 'accuracy_train': 0.74375, 'unfairness_train': 0.09756097560975618, 'description': ' if [installment_rate_rate_2]: [good_credit_rating] = True\nelse if [account_balance:na]: [good_credit_rating] = True\nelse if [apartment_type:own__AND__other_credits:none]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.7, 'unfairness': 0.10730034296913282, 'accuracy_train': 0.7325, 'unfairness_train': 0.05362973057377285, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse if [credit_duration_months_12<_<18]: [good_credit_rating] = True\nelse if [age:<25]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.69, 'unfairness': 0.26190476190476186, 'accuracy_train': 0.75, 'unfairness_train': 0.08874458874458868, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [credit_purpose:car(used)]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.715, 'unfairness': 0.05269219694788374, 'accuracy_train': 0.7325, 'unfairness_train': 0.0338544141404542, 'description': ' if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:no_credits_taken]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}]"
0.693,0.1481553155936639,0.7375,0.05535114312223699,0.9031111111111111,"[{'accuracy': 0.665, 'unfairness': 0.09430122116689288, 'accuracy_train': 0.73875, 'unfairness_train': 0.03824586628324944, 'description': ' if [credit_duration_months__<12]: [good_credit_rating] = True\nelse if [account_balance:little]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.68, 'unfairness': 0.1620553359683795, 'accuracy_train': 0.735, 'unfairness_train': 0.09059773595789167, 'description': ' if [installment_rate_rate_2]: [good_credit_rating] = True\nelse if [previous_credit_payment_status:no_credits_taken]: [good_credit_rating] = False\nelse if [marital_status:male:single]: [good_credit_rating] = True\nelse if [account_balance:little]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.7, 'unfairness': 0.10730034296913282, 'accuracy_train': 0.7325, 'unfairness_train': 0.05362973057377285, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse if [credit_duration_months_12<_<18]: [good_credit_rating] = True\nelse if [age:<25]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.705, 'unfairness': 0.3244274809160306, 'accuracy_train': 0.74875, 'unfairness_train': 0.06042796865581679, 'description': ' if [foreign_worker_yes__AND__account_balance:na]: [good_credit_rating] = True\nelse if [savings:na]: [good_credit_rating] = True\nelse if [credit_duration_months_24<___AND__guarantor:none]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.715, 'unfairness': 0.05269219694788374, 'accuracy_train': 0.7325, 'unfairness_train': 0.0338544141404542, 'description': ' if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:no_credits_taken]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}]"
0.696,0.13188746035075316,0.7372500000000001,0.04391647523071198,0.9096666666666666,"[{'accuracy': 0.665, 'unfairness': 0.09430122116689288, 'accuracy_train': 0.73875, 'unfairness_train': 0.03824586628324944, 'description': ' if [credit_duration_months__<12]: [good_credit_rating] = True\nelse if [account_balance:little]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.725, 'unfairness': 0.16566985645933008, 'accuracy_train': 0.73375, 'unfairness_train': 0.03579734219269104, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.7, 'unfairness': 0.10730034296913282, 'accuracy_train': 0.7325, 'unfairness_train': 0.05362973057377285, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse if [credit_duration_months_12<_<18]: [good_credit_rating] = True\nelse if [age:<25]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.675, 'unfairness': 0.23947368421052628, 'accuracy_train': 0.74875, 'unfairness_train': 0.05805502296339238, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [employment_duration:>7_year]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.715, 'unfairness': 0.05269219694788374, 'accuracy_train': 0.7325, 'unfairness_train': 0.0338544141404542, 'description': ' if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:no_credits_taken]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}]"
0.697,0.13816341594020992,0.7355,0.04693001276257562,0.9162222222222222,"[{'accuracy': 0.665, 'unfairness': 0.09430122116689288, 'accuracy_train': 0.73875, 'unfairness_train': 0.03824586628324944, 'description': ' if [credit_duration_months__<12]: [good_credit_rating] = True\nelse if [account_balance:little]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.725, 'unfairness': 0.16566985645933008, 'accuracy_train': 0.73125, 'unfairness_train': 0.042848624243973066, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.7, 'unfairness': 0.10730034296913282, 'accuracy_train': 0.7325, 'unfairness_train': 0.05362973057377285, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse if [credit_duration_months_12<_<18]: [good_credit_rating] = True\nelse if [age:<25]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.68, 'unfairness': 0.27085346215781003, 'accuracy_train': 0.7425, 'unfairness_train': 0.06607142857142856, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [employment_duration:>7_year]: [good_credit_rating] = True\nelse if [credit_duration_months_24<___AND__guarantor:none]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.715, 'unfairness': 0.05269219694788374, 'accuracy_train': 0.7325, 'unfairness_train': 0.0338544141404542, 'description': ' if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:no_credits_taken]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}]"
0.697,0.13816341594020992,0.7355,0.04693001276257562,0.9227777777777778,"[{'accuracy': 0.665, 'unfairness': 0.09430122116689288, 'accuracy_train': 0.73875, 'unfairness_train': 0.03824586628324944, 'description': ' if [credit_duration_months__<12]: [good_credit_rating] = True\nelse if [account_balance:little]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.725, 'unfairness': 0.16566985645933008, 'accuracy_train': 0.73125, 'unfairness_train': 0.042848624243973066, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.7, 'unfairness': 0.10730034296913282, 'accuracy_train': 0.7325, 'unfairness_train': 0.05362973057377285, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse if [credit_duration_months_12<_<18]: [good_credit_rating] = True\nelse if [age:<25]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.68, 'unfairness': 0.27085346215781003, 'accuracy_train': 0.7425, 'unfairness_train': 0.06607142857142856, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [employment_duration:>7_year]: [good_credit_rating] = True\nelse if [credit_duration_months_24<___AND__guarantor:none]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.715, 'unfairness': 0.05269219694788374, 'accuracy_train': 0.7325, 'unfairness_train': 0.0338544141404542, 'description': ' if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:no_credits_taken]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}]"
0.693,0.12356333886683565,0.73475,0.04079153269597926,0.9293333333333333,"[{'accuracy': 0.665, 'unfairness': 0.09430122116689288, 'accuracy_train': 0.73875, 'unfairness_train': 0.03824586628324944, 'description': ' if [credit_duration_months__<12]: [good_credit_rating] = True\nelse if [account_balance:little]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.725, 'unfairness': 0.16566985645933008, 'accuracy_train': 0.73125, 'unfairness_train': 0.042848624243973066, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.69, 'unfairness': 0.11659409772617324, 'accuracy_train': 0.7325, 'unfairness_train': 0.04492273730684326, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [credit_duration_months_12<_<18]: [good_credit_rating] = True\nelse if [age:<25]: [good_credit_rating] = False\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.67, 'unfairness': 0.18855932203389836, 'accuracy_train': 0.73875, 'unfairness_train': 0.04408602150537633, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse if [credit_duration_months__<12]: [good_credit_rating] = True\nelse if [credit_amount__<1364.5]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.715, 'unfairness': 0.05269219694788374, 'accuracy_train': 0.7325, 'unfairness_train': 0.0338544141404542, 'description': ' if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:no_credits_taken]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}]"
0.693,0.12356333886683565,0.73475,0.04079153269597926,0.9358888888888889,"[{'accuracy': 0.665, 'unfairness': 0.09430122116689288, 'accuracy_train': 0.73875, 'unfairness_train': 0.03824586628324944, 'description': ' if [credit_duration_months__<12]: [good_credit_rating] = True\nelse if [account_balance:little]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.725, 'unfairness': 0.16566985645933008, 'accuracy_train': 0.73125, 'unfairness_train': 0.042848624243973066, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.69, 'unfairness': 0.11659409772617324, 'accuracy_train': 0.7325, 'unfairness_train': 0.04492273730684326, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [credit_duration_months_12<_<18]: [good_credit_rating] = True\nelse if [age:<25]: [good_credit_rating] = False\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.67, 'unfairness': 0.18855932203389836, 'accuracy_train': 0.73875, 'unfairness_train': 0.04408602150537633, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse if [credit_duration_months__<12]: [good_credit_rating] = True\nelse if [credit_amount__<1364.5]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.715, 'unfairness': 0.05269219694788374, 'accuracy_train': 0.7325, 'unfairness_train': 0.0338544141404542, 'description': ' if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:no_credits_taken]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}]"
0.693,0.13635573411592414,0.73425,0.032317608200083316,0.9424444444444444,"[{'accuracy': 0.665, 'unfairness': 0.09430122116689288, 'accuracy_train': 0.73875, 'unfairness_train': 0.03824586628324944, 'description': ' if [credit_duration_months__<12]: [good_credit_rating] = True\nelse if [account_balance:little]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.715, 'unfairness': 0.13800657174151143, 'accuracy_train': 0.73125, 'unfairness_train': 0.0013964530093563132, 'description': ' if [foreign_worker_yes__AND__account_balance:na]: [good_credit_rating] = True\nelse if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.705, 'unfairness': 0.1778131634819533, 'accuracy_train': 0.73125, 'unfairness_train': 0.04056795131845836, 'description': ' if [account_balance:na__AND__guarantor:none]: [good_credit_rating] = True\nelse if [current_assets:unknown]: [good_credit_rating] = False\nelse if [credit_duration_months_12<_<18]: [good_credit_rating] = True\nelse if [age:<25]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.665, 'unfairness': 0.21896551724137936, 'accuracy_train': 0.7375, 'unfairness_train': 0.04752335624889825, 'description': ' if [account_balance:na]: [good_credit_rating] = True\nelse if [credit_duration_months_24<_]: [good_credit_rating] = False\nelse if [credit_duration_months__<12]: [good_credit_rating] = True\nelse if [credit_amount__<1364.5]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}, {'accuracy': 0.715, 'unfairness': 0.05269219694788374, 'accuracy_train': 0.7325, 'unfairness_train': 0.0338544141404542, 'description': ' if [previous_credit_payment_status:all_credits_paid_duly]: [good_credit_rating] = False\nelse if [previous_credit_payment_status:no_credits_taken]: [good_credit_rating] = False\nelse if [age:>=25]: [good_credit_rating] = True\nelse if [foreign_worker_yes__AND__credit_duration_months_24<_]: [good_credit_rating] = False\nelse [good_credit_rating] = True'}]"
