accuracy,unfairness,gamma
0.8415179,0.0820394,0.1
0.8404018,0.0858475,0.166
0.8412946,0.0740766,0.232
0.8441964,0.0848043,0.298
0.8287945999999999,0.0386014,0.364
0.8263393,0.0263976,0.431
0.8470982,0.0915758,0.497
0.8479911,0.0888435,0.563
0.8316964,0.0459832,0.629
0.8256696,0.0397243,0.695
0.8375,0.0707486,0.761
0.809375,0.0102721,0.827
0.828125,0.0184349,0.893
0.8379464,0.0836782,0.959
0.8225446,0.0048951,1.025
0.8441964,0.1008633,1.092
0.84375,0.0966907,1.158
0.8464286,0.0869232,1.224
0.8265625,0.0352588,1.29
0.8444195999999999,0.0980658,1.356
0.8482143,0.101773,1.422
0.8470982,0.1061767,1.488
0.8455357,0.1008958,1.554
0.8314732,0.0322774,1.62
0.8359375,0.0630023,1.686
0.7912946,0.0748236,1.753
0.8227679,0.0664458,1.819
0.7890625,0.0744265,1.885
0.7888393,0.0729863,1.951
0.8341518,0.0355403,2.017
0.8216517999999999,0.0381864,2.083
0.8167411,0.0443623,2.149
0.7872768,0.0675069,2.215
0.8214286,0.0086055,2.281
0.8140625,0.0031393,2.347
0.7857143,0.0624246,2.414
0.7850446,0.0619445,2.48
0.7848214,0.061746,2.546
0.8265625,0.050517,2.612
0.7839286,0.0605043,2.678
0.7834821,0.0600242,2.744
0.7832589,0.0595442,2.81
0.8330356999999999,0.0704492,2.876
0.8241071,0.0431206,2.942
0.7828125,0.0577068,3.008
0.8229911,0.0234846,3.075
0.7834821,0.055588,3.141
0.8339286,0.0446259,3.207
0.7823661,0.0541478,3.273
0.7819195999999999,0.0541478,3.339
0.7816964,0.0541478,3.405
0.7803571,0.0541478,3.471
0.7799107000000001,0.0517474,3.537
0.7790179,0.0515488,3.603
0.7790179,0.0505887,3.669
0.778125,0.0505887,3.736
0.834375,0.0769099,3.802
0.7772321,0.0486684,3.868
0.7770089,0.0481883,3.934
0.7767857,0.0486684,4.0
