accuracy,unfairness,gamma
0.8383929,0.1185184,0.1
0.8337054,0.0808387,0.166
0.8323661,0.0888426,0.232
0.8287945999999999,0.0639192,0.298
0.8477679,0.1574567,0.364
0.8111607000000001,0.0250882,0.431
0.8466518000000001,0.1659962,0.497
0.8252231999999999,0.0672816,0.563
0.8410714,0.0863145,0.629
0.834375,0.1238441,0.695
0.7890625,0.0060302,0.761
0.8151786,0.0264883,0.827
0.8419643,0.1392679,0.893
0.8428571,0.1494514,0.959
0.7959821,0.021227,1.025
0.775,0.0823864,1.092
0.8462054,0.1005384,1.158
0.7714286,0.0787928,1.224
0.7691964,0.0713109,1.29
0.7680804,0.0657769,1.356
0.8178571,0.0131122,1.422
0.8147321,0.0220446,1.488
0.8122768,0.0169038,1.554
0.8147321,0.0784499,1.62
0.8102679,0.0149002,1.686
0.8261161,0.0875203,1.753
0.8263393,0.0791393,1.819
0.8198661,0.0172988,1.885
0.8424107000000001,0.1256307,1.951
0.8140625,0.0332958,2.017
0.7638393,0.0512079,2.083
0.8060267999999999,0.0140026,2.149
0.8424107000000001,0.082121,2.215
0.7627231999999999,0.0516245,2.281
0.7627231999999999,0.0513845,2.347
0.8484375,0.1282526,2.414
0.778125,0.0120334,2.48
0.7622768,0.0440872,2.546
0.8372767999999999,0.0556846,2.612
0.8214286,0.0698294,2.678
0.7613839,0.0420759,2.744
0.7607143000000001,0.0406772,2.81
0.7609375,0.0406772,2.876
0.7611607,0.0421174,2.942
0.8198661,0.0696522,3.008
0.7604911,0.0410305,3.075
0.7604911,0.0397035,3.141
0.8238839,0.0380024,3.207
0.7607143000000001,0.0407904,3.273
0.8404018,0.1132772,3.339
0.7604911,0.0410305,3.405
0.7602679,0.0397035,3.471
0.8160714,0.0335419,3.537
0.7600446,0.0383765,3.603
0.784375,0.0104457,3.669
0.7957589,0.0262637,3.736
0.8330356999999999,0.0887434,3.802
0.7595982,0.0388566,3.868
0.8238839,0.0463448,3.934
0.759375,0.03916,4.0
