accuracy,unfairness,gamma
0.8404018,0.1852318,0.1
0.8370536,0.1641313,0.166
0.8370536,0.1487801,0.232
0.8321429,0.1166353,0.298
0.8131695999999999,0.0560198,0.364
0.8205357,0.1009386,0.431
0.8002232,0.0370325,0.497
0.8167411,0.1020922,0.563
0.8051339,0.0393209,0.629
0.8078125,0.0544716,0.695
0.8008929,0.0298012,0.761
0.7888393,0.0320817,0.827
0.7720982000000001,0.0047236,0.893
0.8040179000000001,0.1508776,0.959
0.8314732,0.1450382,1.025
0.8229911,0.1010585,1.092
0.8328125,0.142562,1.158
0.8125,0.0559741,1.224
0.7950893,0.0260214,1.29
0.8004464,0.0430391,1.356
0.7908482,0.0042248,1.422
0.7796875,0.0019238,1.488
0.7790179,0.0110016,1.554
0.7725446,0.0147862,1.62
0.7698661,0.0077979,1.686
0.7948661,0.0479505,1.753
0.7825892999999999,0.0344584,1.819
0.7908482,0.0328581,1.885
0.7832589,0.0236683,1.951
0.7683036,0.0146552,2.017
0.7819195999999999,0.0253112,2.083
0.7613839,0.0346936,2.149
0.8386161,0.1423726,2.215
0.8084821,0.1077627,2.281
0.8100446,0.062896,2.347
0.7883929000000001,0.0425609,2.414
0.7754464,0.0179236,2.48
0.784375,0.0142701,2.546
0.8147321,0.135801,2.612
0.7928571,0.0430407,2.678
0.8198661,0.1386102,2.744
0.8017856999999999,0.0794592,2.81
0.7680804,0.0138534,2.876
0.821875,0.0819465,2.942
0.7852679,0.0314283,3.008
0.7727679000000001,0.0035336,3.075
0.7886161,0.0391441,3.141
0.7544643,0.0033332,3.207
0.8261161,0.1574934,3.273
0.78125,0.029828,3.339
0.7962054000000001,0.0583256,3.405
0.8180804,0.1367369,3.471
0.7828125,0.1369878,3.537
0.8321429,0.1395887,3.603
0.8381696,0.1800253,3.669
0.8125,0.0952002,3.736
0.778125,0.0226914,3.802
0.8120536,0.1266553,3.868
0.7814732,0.1336799,3.934
0.8089286,0.0684718,4.0
