accuracy,unfairness,gamma
0.6582030999999999,0.2105665,0.1
0.6601562000000001,0.1698101,0.166
0.6582030999999999,0.1958529,0.232
0.65625,0.1909748,0.298
0.6679687999999999,0.1566855,0.364
0.6660155999999999,0.1632796,0.431
0.6738280999999999,0.1372209,0.497
0.6425780999999999,0.1828395,0.563
0.6582030999999999,0.1583539,0.629
0.6699219000000001,0.1550648,0.695
0.65625,0.2023357,0.761
0.6542969000000001,0.1518074,0.827
0.6035155999999999,0.0379757,0.893
0.6210937999999999,0.1161516,0.959
0.6523437999999999,0.1975213,1.025
0.6621094000000001,0.1356002,1.092
0.671875,0.129022,1.158
0.6621094000000001,0.112783,1.224
0.65625,0.1648844,1.29
0.6503905999999999,0.1796457,1.356
0.6660155999999999,0.1812347,1.422
0.6582030999999999,0.1812664,1.488
0.6484375,0.1502185,1.554
0.6699219000000001,0.1470405,1.62
0.6582030999999999,0.2024788,1.686
0.6484375,0.1698419,1.753
0.6542969000000001,0.176293,1.819
0.671875,0.2203384,1.885
0.6699219000000001,0.1893541,1.951
0.6152344000000001,0.2023834,2.017
0.6738280999999999,0.1795344,2.083
0.5800780999999999,0.0160801,2.149
0.6660155999999999,0.1730039,2.215
0.6738280999999999,0.1779773,2.281
0.6152344000000001,0.2023834,2.347
0.6152344000000001,0.2023834,2.414
0.6757812000000001,0.1551601,2.48
0.6230469000000001,0.2023834,2.546
0.6679687999999999,0.2218797,2.612
0.6425780999999999,0.1438627,2.678
0.6699219000000001,0.1860968,2.744
0.6152344000000001,0.2023834,2.81
0.6542969000000001,0.1111782,2.876
0.6621094000000001,0.1763248,2.942
0.6523437999999999,0.1519186,3.008
0.6386719000000001,0.1080321,3.075
0.6699219000000001,0.1273854,3.141
0.6738280999999999,0.1828871,3.207
0.6503905999999999,0.0981171,3.273
0.6132812000000001,0.2023834,3.339
0.6132812000000001,0.2023834,3.405
0.6679687999999999,0.1876857,3.471
0.6132812000000001,0.2023834,3.537
0.6445312000000001,0.1584651,3.603
0.6621094000000001,0.1942481,3.669
0.6132812000000001,0.2023834,3.736
0.6425780999999999,0.1649638,3.802
0.6679687999999999,0.2414714,3.868
0.6503905999999999,0.1275125,3.934
0.640625,0.1275443,4.0
