accuracy,unfairness,accuracy_test,unfairness_test,epsilon
0.8286659587820244,0.19371453141687453,0.8284100568828958,0.194679679357803,0.0
0.8286659587820244,0.19371453141687453,0.8284100568828958,0.194679679357803,0.1
0.8286659587820244,0.19371453141687453,0.8284100568828958,0.194679679357803,0.3
0.8286659587820244,0.19371453141687453,0.8284100568828958,0.194679679357803,0.4
0.8286659587820244,0.19371453141687453,0.8284100568828958,0.194679679357803,0.5
0.8286659587820244,0.19371453141687453,0.8284100568828958,0.194679679357803,0.6
0.8286659587820244,0.19371453141687453,0.8284100568828958,0.194679679357803,0.7
0.8284101726522335,0.18844558479830925,0.8281460304802554,0.19609708646859475,0.8
0.8207531445314175,0.053075118452611834,0.8207529099171677,0.05241250462181109,0.9
0.8208109026897574,0.04640647486051119,0.8206539000161776,0.05189233944378324,0.95
0.8201013024587247,0.04253143826152235,0.8198948241085867,0.0515974752790546,0.951
0.8200930512932476,0.0423422996228936,0.8199278274089169,0.05249215447430451,0.952
0.8201425576053213,0.04160086384429742,0.8199278328559048,0.052104239110356707,0.953
0.820134306439844,0.04140924704975653,0.8199608361562347,0.052998918305606615,0.954
0.820134306439844,0.040816871683187615,0.8198948295555748,0.05233254961263982,0.955
0.8201343067802387,0.039749814736280455,0.8198618208082568,0.049257846835865274,0.956
0.8201343067802387,0.039749814736280455,0.8198618208082568,0.049257846835865274,0.957
0.8201508091111929,0.03915198730646978,0.8198948241085867,0.050152526031115176,0.958
0.8194659616958024,0.03551554758367936,0.819036743746994,0.04939822491226449,0.959
0.8186821009754757,0.03030099016408745,0.8186077008427034,0.04665542688222664,0.96
0.8186490976751456,0.03016394385620258,0.8185746920953856,0.046148663050924535,0.961
0.8179230250678848,0.028167451003472465,0.8179805346436607,0.03404545620773982,0.962
0.8179230250678848,0.028167451003472465,0.8179805346436607,0.03404545620773982,0.963
0.8179230250678848,0.028167451003472465,0.8179805346436607,0.03404545620773982,0.964
0.8179230250678848,0.028167451003472465,0.8179805346436607,0.03404545620773982,0.965
0.8179230250678848,0.028167451003472465,0.8179805346436607,0.03404545620773982,0.966
0.8179230250678848,0.028167451003472465,0.8179805346436607,0.03404545620773982,0.967
0.8179477785643163,0.027746103859384984,0.8179805346436607,0.03404545620773982,0.968
0.8179477785643163,0.027746103859384984,0.8179805346436607,0.03404545620773982,0.969
0.8179147739024077,0.027490676017750237,0.8179475313433308,0.03403220520728929,0.97
0.8172216760023293,0.024207302756947026,0.8172544620364001,0.02509494911717758,0.971
0.8172299268274118,0.022891345667116546,0.8172544620364001,0.02509494911717758,0.972
0.8172299268274118,0.022891345667116546,0.8172544620364001,0.02509494911717758,0.973
0.8172464291583662,0.021501881226250675,0.8172214587360701,0.025219172719662054,0.974
0.8172464291583662,0.021501881226250675,0.8172214587360701,0.025219172719662054,0.975
0.8172464291583662,0.021501881226250675,0.8172214587360701,0.025219172719662054,0.976
0.8172464291583662,0.021501881226250675,0.8172214587360701,0.025219172719662054,0.977
0.8171309128416864,0.020639658870567068,0.81705644223442,0.022685199528502453,0.978
0.8164873270403901,0.018099873366331454,0.8164623555935393,0.02541010720797645,0.979
0.8159675240390081,0.017372124296530633,0.8159342156364506,0.023259986877091167,0.98
0.8152826773044068,0.015479702415927,0.8151421364285298,0.020075457800537055,0.981
0.8147876073757795,0.014834520176631494,0.8146140836232494,0.0157191816656048,0.982
0.8147876073757795,0.014834520176631494,0.8146140836232494,0.0157191816656048,0.983
0.8147050933382458,0.013424841322998237,0.814449056227623,0.015088939339133422,0.984
0.8140119954381675,0.01151971830922276,0.8138880001220125,0.026590877942801194,0.985
0.8141605164167556,0.011438677678882025,0.8138880001220125,0.029660693012827987,0.986
0.8141110094238929,0.010968586101436185,0.8139540067226726,0.02672445441503437,0.987
0.8141110094238929,0.010354525865420095,0.8138880001220125,0.027021797036293392,0.988
0.8140202513691692,0.009856165534558503,0.8138549913746946,0.029699110006773298,0.989
0.8135499291502647,0.008357450422503776,0.8130959209140917,0.025032458541870216,0.99
0.8135746826466962,0.008127722068186571,0.8130299143134316,0.025024216117472832,0.991
0.8137232036252844,0.006366610566790465,0.8133269440164019,0.023812750152549488,0.992
0.8137314547907615,0.005699757855270815,0.8133599473167321,0.02376599681238296,0.993
0.813723199540549,0.004442870520557518,0.8131619384087279,0.026716027940662145,0.994
0.8134344175991096,0.004281610612030607,0.8130959154671036,0.023398277509024366,0.995
0.8033679912918888,0.0029678695497859842,0.8036569824666904,0.03960571124571477,0.996
0.8032772294928243,0.0020115544410592044,0.8036569933606664,0.0380295758394934,0.997
0.8028729462120683,0.0012566890601830804,0.8033928852532061,0.03772732972393138,0.998
0.8028977000488942,0.0006674505778294426,0.8033598819528759,0.0369524080699289,0.999
0.752104017582335,0.0,0.7521038337535686,0.0,1.0
