accuracy,unfairness,accuracy_test,unfairness_test,epsilon
0.6726718897138427,0.07274119721735639,0.6711506605394031,0.0774511148994264,0.0
0.6726718897138427,0.07274119721735639,0.6711506605394031,0.0774511148994264,0.1
0.6726718897138427,0.07274119721735639,0.6711506605394031,0.0774511148994264,0.3
0.6726718897138427,0.07274119721735639,0.6711506605394031,0.0774511148994264,0.4
0.6726718897138427,0.07274119721735639,0.6711506605394031,0.0774511148994264,0.5
0.6726718897138427,0.07274119721735639,0.6711506605394031,0.0774511148994264,0.6
0.6726718897138427,0.07274119721735639,0.6711506605394031,0.0774511148994264,0.7
0.6726718897138427,0.07274119721735639,0.6711506605394031,0.0774511148994264,0.8
0.6726718897138427,0.07274119721735639,0.6711506605394031,0.0774511148994264,0.9
0.6557466050024776,0.04811740740373989,0.6514244089318957,0.07241364774196554,0.95
0.6556517733286985,0.04791811317366288,0.6523722762304739,0.07552483435042294,0.951
0.6544665122701824,0.045519137768987306,0.6536987508655809,0.08128107272411336,0.952
0.6543243097140878,0.04493673759363044,0.6478219736143961,0.07307081394057657,0.953
0.6527122611689921,0.04192754056085037,0.6470629603316637,0.07417890815638037,0.954
0.6533760828854452,0.04013467237266446,0.6514231499051234,0.07100531601175289,0.955
0.6531864644924612,0.0396785720305892,0.6514231499051234,0.07278426332863167,0.956
0.652807137797345,0.039440098986923175,0.6514231499051234,0.07458233583421063,0.957
0.6521433610354657,0.03883982873218794,0.6495266958640971,0.07099657199670448,0.958
0.6518588660141286,0.03833539631676257,0.6428916247740497,0.06906527099231026,0.959
0.651669236382501,0.037729390428140344,0.6430811982337652,0.06723878697404542,0.96
0.6505312562971525,0.03619442572429552,0.641185463636609,0.07244731861920276,0.961
0.646122201591819,0.034141619190223335,0.6349248630808385,0.08288082781741657,0.962
0.646122201591819,0.034141619190223335,0.6349248630808385,0.08288082781741657,0.963
0.6456006611019647,0.033109207981264245,0.6343554232578217,0.08396249070522296,0.964
0.6454109977544067,0.03165177533793397,0.6368198782341251,0.0824822674938421,0.965
0.6434195326050468,0.03208798566621818,0.6349241436369686,0.08381498095149412,0.966
0.6433246672153372,0.031358858092921514,0.6360623038391323,0.08139444811213944,0.967
0.6428505425623725,0.030191397734684332,0.6347345701772531,0.0808344283072644,0.968
0.6407168411409876,0.0293602538828442,0.6326490822594135,0.08030330676773949,0.969
0.6397685244031971,0.02880820326913245,0.6322699353399822,0.07656292207583482,0.97
0.638298633459622,0.027886126892394315,0.6309429211219728,0.07524537608523633,0.971
0.6339374104209872,0.02618437357472845,0.6269581013876274,0.08655132468587642,0.972
0.631187291881395,0.02384547407631856,0.624493646411324,0.09821826523989212,0.973
0.6303338068173836,0.023203920844521032,0.6260102340890492,0.08390846168475248,0.974
0.6302863909804941,0.02272872667350272,0.6258206606293335,0.08369595682108481,0.975
0.6291960852208354,0.020869793360122492,0.6252514006672841,0.0693732349878952,0.976
0.6287219830451576,0.02047083829791254,0.6246823205662023,0.07306198394059013,0.977
0.6287218706587228,0.018762287446752235,0.6229756198458591,0.07011845709074227,0.978
0.6287218706587228,0.018762287446752235,0.6229756198458591,0.07011845709074227,0.979
0.6272993955520371,0.01756163950256153,0.6225964729264278,0.0867708720525802,0.98
0.626920068856921,0.0171979615052406,0.621459032168134,0.09301381475913917,0.981
0.626825237183142,0.014654184831029139,0.6212694587084184,0.09062353208583762,0.982
0.6256875155865937,0.013638290905714667,0.6220286518521183,0.09071196680120355,0.983
0.6256875155865937,0.013638290905714667,0.6220286518521183,0.09071196680120355,0.984
0.6221792606343697,0.010924419257392338,0.6138712375333867,0.11561713356083654,0.985
0.6193345689097988,0.009926494524738816,0.6142520032015253,0.11883141381225999,0.986
0.6207096281795949,0.009415744574379593,0.6167164581778286,0.11988008497059655,0.987
0.6207096281795949,0.009415744574379593,0.6167164581778286,0.11988008497059655,0.988
0.6186233763110298,0.008914668997015762,0.6129239098177109,0.11809977450093138,0.989
0.616584551517998,0.006929578453611263,0.6087531138429993,0.11953736477098742,0.99
0.6158258981277657,0.007438851202030627,0.608373966923568,0.0969183171519398,0.991
0.6126023517311051,0.0066321750741382465,0.6053375540707033,0.10396582835553085,0.992
0.6114643716457565,0.005712413994175302,0.6079915825067224,0.11301865534412021,0.993
0.6073400030186997,0.003732174113342679,0.6085633605223162,0.09824971594803589,0.994
0.6109902132768614,0.002451013848921235,0.6021126469239279,0.08898822265536652,0.995
0.6108953816030824,0.0018701880461931887,0.6019230734642121,0.08875199587765992,0.996
0.6108953816030824,0.0018701880461931887,0.6019230734642121,0.08875199587765992,0.997
0.6083824209184423,0.0012957203440451704,0.604958407151272,0.1139475291297531,0.998
0.6000862565887953,0.0007754557029384434,0.5996469329208521,0.10608189303793028,0.999
0.5291101995072754,0.0,0.5291047420344074,0.0,1.0
