error,unfairness,strategy
0.17552560196404965,0.00809461902958486,with ULB
0.1755833601223895,0.006252122160745288,with ULB
0.17581439275574895,0.0057634306229463975,with ULB
0.17590515183165656,0.004124286192266136,with ULB
0.17595465882451933,0.002937134579216927,with ULB
0.17634246360194414,0.0026952688531676873,with ULB
0.1765817474007807,0.0017013879534425794,with ULB
0.17723358947347345,0.0009213661875230539,with ULB
0.17771215707114665,0.0007142443023553158,with ULB
0.24789598241766495,0.0,with ULB
0.17552560196404965,0.00809461902958486,without ULB
0.1755833601223895,0.006252122160745288,without ULB
0.17581439275574895,0.0057634306229463975,without ULB
0.17590515183165656,0.004124286192266136,without ULB
0.17595465882451933,0.002937134579216927,without ULB
0.17634246360194414,0.0026952688531676873,without ULB
0.1765817474007807,0.0017013879534425794,without ULB
0.17723358947347345,0.0009213661875230539,without ULB
0.17771215707114665,0.0007142443023553158,without ULB
0.24789598241766495,0.0,without ULB
