error,unfairness,strategy
0.17552560196404965,0.0061166553891493615,with ULB
0.1755833601223895,0.005624062001166427,with ULB
0.17567411919829712,0.005559479054739116,with ULB
0.17625168648512202,0.005272315650808731,with ULB
0.17627643896036935,0.005102719067852165,with ULB
0.17632594595323214,0.004017452815030896,with ULB
0.17638370172880968,0.003664930976970188,with ULB
0.17673850184432605,0.003381433138185175,with ULB
0.17710980020606115,0.00241326782209613,with ULB
0.17746460032157751,0.0023963312850238125,with ULB
0.1778936585436256,0.0015270317768106686,with ULB
0.17795966786744266,0.001282675937731175,with ULB
0.17824020715327027,0.0008464703539096195,with ULB
0.178413474480003,0.000716708051653428,with ULB
0.18104557516273925,0.0003349182305932478,with ULB
0.24789598241766495,0.0,with ULB
0.17552560196404965,0.0061166553891493615,without ULB
0.1755833601223895,0.005624062001166427,without ULB
0.17567411919829712,0.005559479054739116,without ULB
0.17625168648512202,0.005272315650808731,without ULB
0.17627643896036935,0.005102719067852165,without ULB
0.17632594595323214,0.004017452815030896,without ULB
0.17638370172880968,0.003664930976970188,without ULB
0.17673850184432605,0.003381433138185175,without ULB
0.17710980020606115,0.00241326782209613,without ULB
0.17746460032157751,0.0023963312850238125,without ULB
0.1778936585436256,0.0015270317768106686,without ULB
0.17795966786744266,0.001282675937731175,without ULB
0.17824020715327027,0.0008464703539096195,without ULB
0.178413474480003,0.000716708051653428,without ULB
0.18104557516273925,0.0003349182305932478,without ULB
0.24789598241766495,0.0,without ULB
