accuracy,unfairness,accuracy_test,unfairness_test,epsilon
0.7565000000000001,0.0728275754878632,0.682,0.076015156449212,0.0
0.7565000000000001,0.0728275754878632,0.682,0.076015156449212,0.1
0.7565000000000001,0.0728275754878632,0.682,0.076015156449212,0.3
0.7565000000000001,0.0728275754878632,0.682,0.076015156449212,0.4
0.7565000000000001,0.0728275754878632,0.682,0.076015156449212,0.5
0.7565000000000001,0.0728275754878632,0.682,0.076015156449212,0.6
0.7565000000000001,0.0728275754878632,0.682,0.076015156449212,0.7
0.7565000000000001,0.0728275754878632,0.682,0.076015156449212,0.8
0.7565000000000001,0.04472607645042548,0.701,0.0862132651740372,0.9
0.7547500000000001,0.03132229153284505,0.7040000000000001,0.04509364493538197,0.95
0.7547500000000001,0.03132229153284505,0.7040000000000001,0.04509364493538197,0.951
0.7547500000000001,0.03132229153284505,0.7040000000000001,0.04509364493538197,0.952
0.7547500000000001,0.03132229153284505,0.7040000000000001,0.04509364493538197,0.953
0.7547500000000001,0.03132229153284505,0.7040000000000001,0.04509364493538197,0.954
0.7547500000000001,0.03132229153284505,0.7040000000000001,0.04509364493538197,0.955
0.7547500000000001,0.03132229153284505,0.7040000000000001,0.04509364493538197,0.956
0.7547500000000001,0.03132229153284505,0.7040000000000001,0.04509364493538197,0.957
0.7545,0.028807610551470984,0.7060000000000001,0.06290567662024604,0.958
0.7545,0.028807610551470984,0.7060000000000001,0.06290567662024604,0.959
0.7545,0.028807610551470984,0.7060000000000001,0.06290567662024604,0.96
0.7545,0.028807610551470984,0.7060000000000001,0.06290567662024604,0.961
0.7545,0.028807610551470984,0.7050000000000001,0.06699042561814639,0.962
0.7545,0.028807610551470984,0.7050000000000001,0.06699042561814639,0.963
0.7545,0.028807610551470984,0.7050000000000001,0.06699042561814639,0.964
0.7545,0.028807610551470984,0.7050000000000001,0.06699042561814639,0.965
0.7545,0.028807610551470984,0.7050000000000001,0.06699042561814639,0.966
0.7545,0.028807610551470984,0.7050000000000001,0.06699042561814639,0.967
0.7545,0.028807610551470984,0.7050000000000001,0.06699042561814639,0.968
0.7539999999999999,0.028370483580496698,0.709,0.06005400943317529,0.969
0.75325,0.021789986509895453,0.71,0.06462522118015138,0.97
0.75275,0.01850432883795685,0.7130000000000001,0.039405782087879905,0.971
0.7525000000000001,0.01819930067689237,0.7130000000000001,0.042402998957929136,0.972
0.7525000000000001,0.01819930067689237,0.7130000000000001,0.042402998957929136,0.973
0.7522500000000001,0.014800758567394467,0.7140000000000001,0.047669537172444244,0.974
0.7522500000000001,0.014800758567394467,0.7140000000000001,0.047669537172444244,0.975
0.7522500000000001,0.014800758567394467,0.7140000000000001,0.047669537172444244,0.976
0.75125,0.0122642135753668,0.717,0.0592444514696816,0.977
0.75125,0.0122642135753668,0.717,0.0592444514696816,0.978
0.75075,0.008295107135798485,0.704,0.058566944694613855,0.979
0.75075,0.008295107135798485,0.704,0.058566944694613855,0.98
0.75075,0.008295107135798485,0.704,0.058566944694613855,0.981
0.75075,0.008295107135798485,0.704,0.058566944694613855,0.982
0.75075,0.008295107135798485,0.704,0.058566944694613855,0.983
0.75075,0.008295107135798485,0.704,0.058566944694613855,0.984
0.75075,0.008295107135798485,0.704,0.058566944694613855,0.985
0.7505000000000001,0.007884399926806163,0.703,0.07753504574363976,0.986
0.7505000000000001,0.007884399926806163,0.703,0.07753504574363976,0.987
0.7505000000000001,0.0057852297475120325,0.7,0.07175469892283051,0.988
0.7505000000000001,0.0057852297475120325,0.7,0.07175469892283051,0.989
0.7495,0.004329515826943386,0.695,0.06380954869092892,0.99
0.7492500000000001,0.0041445774930696675,0.688,0.05391873301976642,0.991
0.7492500000000001,0.0027179103460436725,0.695,0.053704646100477184,0.992
0.7492500000000001,0.0027179103460436725,0.695,0.053704646100477184,0.993
0.7492500000000001,0.0027179103460436725,0.695,0.053704646100477184,0.994
0.749,0.002424224589802848,0.695,0.053704646100477184,0.995
0.749,0.002424224589802848,0.695,0.053704646100477184,0.996
0.7475,0.0012857246685550328,0.692,0.0535698126555781,0.997
0.7472500000000001,0.0011680366379080986,0.693,0.054725882019739956,0.998
0.7462500000000001,0.0005670120216255681,0.7050000000000001,0.06653434210819442,0.999
0.7,0.0,0.7,0.0,1.0
